school_name,postal_code,sap_ind,autonomous_ind,ip_ind,latitude,longitude
SINGAPORE SPORTS SCHOOL,737913,No,No,No,1.42641140556342,103.789444793951
SOUTH VIEW PRIMARY SCHOOL,689762,No,No,No,1.38166664389749,103.746275846011
SPECTRA SECONDARY SCHOOL,737758,No,No,No,1.43703750789961,103.804100467487
SPRINGDALE PRIMARY SCHOOL,544799,No,No,No,1.39467010299293,103.889926221247
SPRINGFIELD SECONDARY SCHOOL,529593,No,No,No,1.34957303471476,103.930354460693
ST ANDREW'S SCHOOL (JUNIOR),359337,No,No,No,1.33140255308868,103.865117134385
ST ANDREW'S SCHOOL (SECONDARY),359342,No,No,No,1.33069360968075,103.866249138562
ST. ANDREW'S JUNIOR COLLEGE,357691,No,No,No,1.33306515740956,103.863576377056
ST. ANTHONY'S CANOSSIAN PRIMARY SCHOOL,469701,No,No,No,1.3347253730189,103.941234868202
ST. ANTHONY'S CANOSSIAN SECONDARY SCHOOL,469700,No,Yes,No,1.33466313498855,103.941977166932
ST. ANTHONY'S PRIMARY SCHOOL,659401,No,No,No,1.36411948475833,103.749251919049
ST. GABRIEL'S PRIMARY SCHOOL,556742,No,No,No,1.34947192653862,103.862561037707
ST. GABRIEL'S SECONDARY SCHOOL,556140,No,No,No,1.34648798732177,103.876094163287
ST. HILDA'S PRIMARY SCHOOL,529706,No,No,No,1.34938565036336,103.937007133662
ST. HILDA'S SECONDARY SCHOOL,528986,No,No,No,1.34973922385379,103.937608032148
ST. JOSEPH'S INSTITUTION,308274,No,No,Yes,1.32365313490152,103.828498974985
ST. JOSEPH'S INSTITUTION JUNIOR,309331,No,No,No,1.31772860986913,103.845611935235
ST. MARGARET'S SCHOOL (PRIMARY),228197,No,No,No,1.30390355715254,103.845955315605
ST. MARGARET'S SCHOOL (SECONDARY),259240,No,Yes,No,1.32006821363359,103.80995114006
ST. PATRICK'S SCHOOL,429058,No,No,No,1.30788341871801,103.917638193713
ST. STEPHEN'S SCHOOL,455789,No,No,No,1.31878997295135,103.917258129598
SWISS COTTAGE SECONDARY SCHOOL,659322,No,No,No,1.36471742697475,103.750396136688
TAMPINES MERIDIAN JUNIOR COLLEGE,518799,No,No,No,1.37633346909682,103.936990723441
TAMPINES NORTH PRIMARY SCHOOL,529565,No,No,No,1.36047641484682,103.948725782833
TAMPINES PRIMARY SCHOOL,529426,No,No,No,1.34977870805929,103.944004684986
TAMPINES SECONDARY SCHOOL,529427,No,No,No,1.34926094811197,103.944263709507
TANJONG KATONG GIRLS' SCHOOL,439272,No,Yes,No,1.30821274627283,103.895820094229
TANJONG KATONG PRIMARY SCHOOL,437259,No,No,No,1.30525783246242,103.900162653092
TANJONG KATONG SECONDARY SCHOOL,438796,No,Yes,No,1.30873515955341,103.897225196199
TAO NAN SCHOOL,449761,Yes,No,No,1.30528528687321,103.911553152326
TECK GHEE PRIMARY SCHOOL,569299,No,No,No,1.36558782075966,103.850957126982
